ID,S,E
2_1,1,1.97215e-31
2_2,1,1.97215e-31
2_3,1,1.97215e-31
3_1,1,2.52223e-30
3_2,1,0.143594
3_3,1,0.277997
3_4,1,2.52223e-30
3_5,1,0.0528315
3_6,1,0.666667
3_7,1,0.666667
3_8,1,3.71011e-30
4_1,1.0243,0.0264935
4_2,1.0468,0.205414
4_4,1.0854,0.328271
4_5,1.0994,0.458839
4_7,1.1162,0.6079
4_8,0.98675,0.265016
4_9,0.9,0.45
4_10,1,1
4_12,0.95526,0.961158
4_14,1.0243,0.0264935
4_15,1.0685,0.643472
4_16,1.0685,0.643472
4_17,1.0685,0.643472
4_19,1.2,1.8
4_20,1.2,1.8
4_21,0.9,0.45
4_22,0.9,0.45
4_23,1.2,1.8
4_25,0.9,1.15952
4_26,0.9,1.15952
4_27,1.0243,0.0264935
4_29,1.0565,0.658544
5_2,1.0747,0.304178
5_4,1.1123,0.504546
5_12,1.0367,0.338231
5_13,1.0444,1.35173
5_16,1.0472,0.431661
5_18,1.1314,1.39683
5_20,1.1537,1.56554
5_21,1.1537,1.56554
5_27,0.99437,0.278635
5_32,1.0472,0.0891649
5_35,0.92618,1.67842
5_39,1.1009,0.724385
5_43,1.1009,0.724385
5_45,0.94136,1.76867
5_46,0.90457,1.76211
5_48,0.91493,2.49897
5_50,0.93333,1.95556
5_52,0.9,3.9
5_62,0.98064,0.800463
5_64,1.0075,1.08339
5_67,1.009,1.64067
5_68,1.0472,0.094505
5_76,1.1231,0.644774
5_77,1.1389,0.771182
5_79,1.1061,1.34303
5_94,1.0062,0.627752
5_96,0.93333,1.95556
5_97,0.8,1.6
5_101,0.93333,1.95556
6_4,1.1256,0.700939
6_31,1.0789,0.517787
6_36,1.1053,0.765943
6_57,1.0176,2.69466
6_71,0.99955,1.8964
6_78,1.215,2.92185
6_91,1.0182,4.69435
6_101,1.0948,3.01686
6_109,1.0512,1.62804
6_120,1.0732,3.25283
6_123,1.0842,3.69907
6_138,1.1176,5.36452
6_142,1.1184,0.865636
6_155,1.196,1.69845
6_163,1.0116,1.01043
6_166,1.0458,1.25431
6_210,1.122,1.84183
6_226,1.173,2.07868
6_232,0.8863,1.29868
6_236,1.1716,2.92483
6_245,0.87046,2.96037
6_246,0.86929,2.97398
6_253,0.8793,4.23898
6_257,1.0342,1.41114
6_263,0.88676,4.78291
6_281,0.81917,6.18822
6_293,1.0049,1.46614
6_302,0.96264,1.8094
6_309,1.1429,2.14286
6_311,1.1429,2.14286
6_372,1.1429,3.93778
6_396,1.1002,0.439455
6_418,0.99691,0.641932
6_460,0.96345,1.80898
6_463,0.94365,2.61123
6_493,1.1429,2.14286
6_496,1.2857,8.57143
7_31,1.0763,0.992098
7_52,1.2283,3.40222
7_58,1.0516,1.4738
7_119,1.089,5.43726
7_126,1.0872,2.46778
7_139,1.1112,4.22262
7_189,1.0785,1.01873
7_222,1.1568,3.6478
7_242,1.0961,1.59402
7_364,1.1306,3.29583
7_373,0.999,6.74888
7_718,1.059,5.43578
7_729,1.0284,7.501
7_914,1.1553,2.78508
7_979,1.1692,3.28292
7_1119,0.93659,3.74523
7_1141,0.92797,4.71054
7_1155,0.7998,2.02152
7_1219,0.89932,5.56348
7_1311,0.97211,1.51174
7_1329,1.0006,1.82699
7_1341,1.1339,1.75182
7_1388,1.1368,3.12192
7_1693,1.1147,1.27969
7_1714,0.97038,4.98122
7_1771,0.94664,6.74611
7_1812,1.1087,3.59843
7_1928,1.047,2.38832
7_2019,1.0827,3.90936
7_2245,0.90773,1.80418
7_2314,0.9279,1.18137
7_2329,1.0815,2.14898
7_2393,1.1602,2.5974
7_2396,0.84637,2.36707
8_414,1.1846,5.32319
8_2314,1.1887,9.63875
8_2499,1.1673,11.4285
8_2642,0.99228,2.3586
8_2817,1.1487,2.54048
8_3161,0.91614,13.6545
8_3248,0.89784,13.9511
8_4102,0.9818,14.8705
8_4305,0.99952,14.5886
8_4787,1.0629,6.31179
8_5390,1.0687,1.56943
8_5474,0.98847,2.61741
8_5491,1.0845,5.72719
8_5518,0.93612,2.66397
8_7722,1.136,1.65789
8_7748,0.96275,2.70563
8_7791,1.1031,3.69801
8_8010,0.73035,4.31064
8_11622,1.0759,2.65793
8_12322,1.0092,10.2261
9_1477,1.1675,8.61193
9_3761,1.0283,2.06028
9_3854,1.1331,5.02508
9_8338,1.1142,3.00315
9_11105,0.96869,10.0396
9_16347,1.0303,8.74403
9_18405,0.98606,14.4394
9_18869,0.88454,19.0484
9_19203,0.87621,19.1619
9_20559,0.95741,13.6968
9_20589,1.069,2.04791
9_21508,0.99253,12.2806
9_23630,0.97709,1.58817
9_24796,1.1724,6.7631
9_27699,1.1833,10.0609
9_35189,1.1232,2.31181
9_35458,1.0614,11.3872
9_38596,1.1411,4.87501
9_38597,0.91744,4.9712
9_38599,1.1375,3.89197
9_38601,0.90615,8.4986
9_45828,1.1774,7.78134
9_51712,1.1089,1.78651
9_52640,1.1316,6.78008
9_64993,1.0114,2.07296
9_68582,1.1872,6.25996
9_68604,1.0547,7.69713
9_87224,0.90917,4.05793
