2_1	1	1.972152e-31	826
3_1	1	2.522228e-30	481
4_1	1.0243	0.02649353	152
4_2	0.92425	0.3170246	150
5_1	1.0472	0.08916494	79
5_2	1.0701	1.265567	73
5_3	0.93333	1.955556	580
6_1	1.0663	0.1987562	10
6_2	1.1098	1.542394	32
6_3	0.97916	0.4964631	85
6_5	1.0182	4.694349	32
6_6	0.85714	3.809524	51
7_1	1.0819	0.3661242	6
7_2	1.1324	1.853907	8
7_3	1.0312	0.9056347	361
7_4	1.2283	3.40222	2
7_5	1.089	5.43726	2
7_6	1.0803	1.488871	1
7_7	0.90773	1.804181	28
7_8	0.94215	1.947022	3
7_9	1.2362	7.16701	1
7_10	0.94747	10.55557	1
8_1	1.0948	0.6021372	1
8_2	1.1459	2.220506	6
8_3	1.0735	1.754018	32
8_5	1.0287	0.6601985	84
8_10	1.0667	6.544189	11
8_11	1.0249	0.6956485	1
8_14	1.0419	12.19867	1
8_15	1.1	4.864255	1
8_16	1.192	6.924423	1
8_17	1.0378	2.758123	1
8_18	1.3038	12.31942	13
9_2	1.1545	2.658037	8
9_6	1.0552	1.069837	8
9_12	1.0971	2.252608	1
9_13	1.0468	6.002847	4
9_15	1.0323	1.643199	1
9_19	0.97279	2.138538	2
9_28	1.1046	5.407966	1
9_31	1.0033	2.523241	1
9_46	0.81286	29.99744	1
10_2	1.1603	3.179778	1
10_4	1.1235	3.494726	1
10_15	1.0905	7.979726	1
10_19	1.0834	2.076374	4
10_22	1.0619	3.532643	1
10_30	1.0114	3.458722	1
10_42	1.0678	14.64475	2
10_45	1.0115	13.5946	1
10_54	0.99264	2.162889	2
10_62	0.91848	4.969986	1
10_64	0.91848	4.970004	2
10_69	1.1909	30.05901	1
10_88	1.0523	21.1638	1
10_90	1.1051	12.17635	1
11_1	1.1221	1.830683	1
11_24	1.0909	5.701271	1
11_54	1.1422	8.010095	1
11_89	1.2162	32.16802	1
11_107	1.1419	14.61564	2
11_115	1.0819	13.49611	1
11_138	1.078	6.170183	2
11_160	0.96249	3.719019	2
11_174	1.1055	6.120052	1
11_177	0.86753	9.270599	1
11_202	1.0255	15.63395	4
12_116	1.1656	11.13545	1
12_150	1.1274	12.42914	1
12_194	0.97	5.80993	1
12_387	1.2259	18.67301	2
12_523	1.2499	28.14932	1
13_140	1.087	15.40898	1
13_435	1.2003	15.70212	1
13_610	1.145	15.54936	1
13_868	1.0255	8.707514	2
13_1079	1.0263	6.151766	1
13_1080	0.9569	20.82825	1
13_1154	1.1502	19.91524	1
13_1213	0.77735	22.5854	1
